dpi_true_id,school_name,X,Y,geometry
3619_0177,Rogers Street Academy,-87.94423766499995,43.00855125700008,"c(-87.9442376649999, 43.0085512570001)"
3619_0059,Roosevelt Middle,-87.92098441299999,43.05256978500006,"c(-87.920984413, 43.0525697850001)"
3619_0319,Sherman Elementary,-87.97760531799997,43.07162746800003,"c(-87.977605318, 43.071627468)"
3619_0107,Siefert Elementary,-87.93002737099994,43.05059421500005,"c(-87.9300273709999, 43.050594215)"
3619_0442,South Accelerated Academy,-87.93065155199997,43.01424065100008,"c(-87.930651552, 43.0142406510001)"
3619_0032,South Division High,-87.93065155199997,43.01424065100008,"c(-87.930651552, 43.0142406510001)"
3619_0312,Starms Discovery,-87.94509083799994,43.056876714000055,"c(-87.9450908379999, 43.0568767140001)"
3619_0149,Starms Early Childhood,-87.94656225999995,43.05918233300008,"c(-87.94656226, 43.0591823330001)"
3619_0343,Story Elementary,-87.96165262299996,43.04166382400007,"c(-87.961652623, 43.0416638240001)"
3619_0344,Stuart Elementary,-88.01794510999997,43.145952683000075,"c(-88.01794511, 43.1459526830001)"
3619_0360,Thoreau Elementary,-87.98492126699995,43.16097785300008,"c(-87.9849212669999, 43.1609778530001)"
3619_0154,Thurston Woods Elementary,-87.95611774599996,43.12585564200003,"c(-87.956117746, 43.125855642)"
3619_0365,Townsend Street Elementary,-87.96726196499998,43.08041058100008,"c(-87.967261965, 43.0804105810001)"
3619_0433,Transition High,-87.95875718499997,43.055499987000076,"c(-87.958757185, 43.0554999870001)"
3619_0368,Trowbridge Street School of Great Lakes Studies,-87.88559547399996,42.99212634500003,"c(-87.885595474, 42.992126345)"
3619_0387,Victory Elementary,-87.94213826599997,42.93626448100008,"c(-87.942138266, 42.9362644810001)"
3619_0390,Vieau Elementary,-87.91544088299997,43.02292750200007,"c(-87.915440883, 43.0229275020001)"
3619_0448,Vincent Accelerated Academy,-88.02854016699996,43.15401344500003,"c(-88.028540167, 43.154013445)"
3619_0033,Vincent High,-88.02854016699996,43.15401344500003,"c(-88.028540167, 43.154013445)"
3619_0204,Wedgewood Park School,-87.99481769999994,42.978814095000075,"c(-87.9948176999999, 42.9788140950001)"
3619_0130,Westside Academy,-87.95875718499997,43.055499987000076,"c(-87.958757185, 43.0554999870001)"
3619_0397,Whitman Elementary,-87.98266096799995,42.96843614200003,"c(-87.9826609679999, 42.968436142)"
3619_0398,Whittier Elementary,-87.91449084799996,42.96540539100005,"c(-87.914490848, 42.965405391)"
3619_0424,WHS Information Technology,-87.96752013599996,43.06477819000003,"c(-87.967520136, 43.06477819)"
3619_0399,Wisconsin Conservatory of Lifelong Learning,-87.92715455199999,43.04345604000008,"c(-87.927154552, 43.0434560400001)"
3619_0295,Zablocki Elementary,-87.92541972899994,42.98827496400003,"c(-87.9254197289999, 42.988274964)"
